DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
12852851.60,169.12,6.07,150.54,64.99,0,0,0,0,0,0,
12852841.42,186.54,5.84,161.24,77.44,0,0,0,0,0,0,
12852831.21,240.12,7.86,210.61,110.51,0,0,0,0,0,0,
12852821.01,201.6,6.88,185.62,104.51,0,0,0,0,0,0,
12852810.81,183.11,5.78,168.3,87.04,0,0,0,0,0,0,
12852800.61,272.38,15.72,252.82,244.92,0,0,0,0,0,0,
12852790.42,513.53,26.34,508.44,416.78,0,0,0,0,0,0,
12852780.21,526.14,44.26,525.51,706.14,0,0,0,0,0,0,
12852770.00,646.64,37.47,638.13,595.76,0,0,0,0,0,0,
12852759.79,391.13,16.08,373.69,250.29,0,0,0,0,0,0,
12852749.56,300.56,24.21,292.67,383.97,0,0,0,0,0,0,
12852739.35,619.74,33.62,614.81,533.89,0,0,0,0,0,0,
12852729.11,877.64,45.63,868.35,726.51,0,0,0,0,0,0,
12852718.91,319.64,33.07,305.75,526,0,0,0,0,0,0,
12852708.71,292.26,20.58,280.33,327.28,0,0,0,0,0,0,
12852698.51,554.43,31.39,544.1,494.23,0,0,0,0,0,0,
12852688.30,912.39,47.76,904.5,760.55,0,0,0,0,0,0,
12852678.08,324.36,37.72,320.23,598.96,0,0,0,0,0,0,
12852667.85,402.03,19.81,386.38,312.51,0,0,0,0,0,0,
12852657.64,350.34,27.88,341.65,437.31,0,0,0,0,0,0,
12852647.44,528.99,30.87,520.46,486.61,0,0,0,0,0,0,
12852637.23,861.76,41.67,857.2,660.22,0,0,0,0,0,0,
12852627.03,335.11,31.13,320.9,494.77,0,0,0,0,0,0,
12852616.82,307.71,25.15,296.96,399.23,0,0,0,0,0,0,
12852606.61,531.76,25.88,525.7,408.93,0,0,0,0,0,0,
12852596.40,882.96,46.89,879.13,746.27,0,0,0,0,0,0,
12852586.18,379.69,38.94,371.92,619.32,0,0,0,0,0,0,
12852575.96,378.58,19.71,366.37,312.07,0,0,0,0,0,0,
12852565.75,383.68,26.85,378.65,424.74,0,0,0,0,0,0,
12852555.55,693.61,52.8,690.73,841.91,0,0,0,0,0,0,
12852545.32,673.84,36.85,680,589.13,0,0,0,0,0,0,
12852535.11,442.67,24.02,436.02,382.43,0,0,0,0,0,0,
12852524.91,289.86,21.01,283.12,332.33,0,0,0,0,0,0,
12852514.70,617.9,40.63,614.12,646.2,0,0,0,0,0,0,
12852504.38,841.9,40,839.04,638.52,0,0,0,0,0,0,
12852494.18,308.52,28.89,302.77,458.77,0,0,0,0,0,0,
12852483.97,322.75,26.08,313.18,408.27,0,0,0,0,0,0,
12852473.77,580.66,30.17,574.82,478.11,0,0,0,0,0,0,
12852463.56,945.92,44.73,939.43,711.59,0,0,0,0,0,0,
12852453.34,303.11,38.38,285.03,612.35,0,0,0,0,0,0,
12852443.13,358.92,19.65,339.29,310.2,0,0,0,0,0,0,
12852432.93,406.81,26.99,403.52,428.34,0,0,0,0,0,0,
12852422.73,511.94,43.4,508.4,691.11,0,0,0,0,0,0,
12852412.50,814.58,36.52,804.89,578.55,0,0,0,0,0,0,
12852402.30,340.62,24.89,327.77,396.21,0,0,0,0,0,0,
12852392.07,326.52,24.71,318.48,390.57,0,0,0,0,0,0,
12852381.84,590.47,32.06,584.34,508.85,0,0,0,0,0,0,
12852371.62,931.88,44.07,929.83,704.51,0,0,0,0,0,0,
12852361.42,312.72,39.37,302.11,626.8,0,0,0,0,0,0,
12852351.22,321.44,16.87,311.27,265.87,0,0,0,0,0,0,
12852341.01,480.08,31.83,469.85,502.43,0,0,0,0,0,0,
12852330.83,828.82,50.15,818.45,797.1,0,0,0,0,0,0,
12852320.61,488.27,38.43,473.49,610.64,0,0,0,0,0,0,
12852310.39,396.54,20.32,383.52,322.15,0,0,0,0,0,0,
12852300.18,368.39,27.75,360.01,438.43,0,0,0,0,0,0,
12852289.98,501.78,32.94,497.39,523.25,0,0,0,0,0,0,
12852279.75,863.51,40.62,861,642.48,0,0,0,0,0,0,
12852269.54,319.41,29.44,306.4,469.73,0,0,0,0,0,0,
12852259.34,308.8,25.06,297.63,397.2,0,0,0,0,0,0,
12852249.14,592.56,30.64,586.17,484.43,0,0,0,0,0,0,
12852238.94,927.68,45.18,921.98,718.9,0,0,0,0,0,0,
12852228.71,307.44,38.05,301.78,604.4,0,0,0,0,0,0,
12852218.51,371.25,19.55,357.84,309.85,0,0,0,0,0,0,
12852208.30,441.37,29.21,436.16,462.85,0,0,0,0,0,0,
12852198.08,743.18,52.91,741.75,844.5,0,0,0,0,0,0,
12852187.87,590.11,38.47,584.03,613.51,0,0,0,0,0,0,
12852177.64,413.88,20.81,403.01,330.73,0,0,0,0,0,0,
12852167.43,312.34,22.65,307.63,358.68,0,0,0,0,0,0,
12852157.24,596.93,45.43,591.76,722.08,0,0,0,0,0,0,
12852147.01,837.1,34.02,833.88,543.39,0,0,0,0,0,0,
12852136.80,315.58,29.14,303.88,456.65,0,0,0,0,0,0,
12852126.60,305.39,24.63,294.84,392.5,0,0,0,0,0,0,
12852116.39,502.3,24.81,496.76,389.6,0,0,0,0,0,0,
12852106.18,876.5,49.45,870.54,784.89,0,0,0,0,0,0,
12852095.96,418.83,39.16,415.8,624.56,0,0,0,0,0,0,
12852085.75,397.33,20.03,383.26,317.36,0,0,0,0,0,0,
12852075.55,405.73,28.4,400.72,449.16,0,0,0,0,0,0,
12852065.33,700.05,53.8,697.75,857.32,0,0,0,0,0,0,
12852055.13,673.42,37.09,670.63,590.98,0,0,0,0,0,0,
12852044.91,448.15,23.39,440.79,370.75,0,0,0,0,0,0,
12852034.69,269.01,19.76,256.85,309.71,0,0,0,0,0,0,
12852024.49,545.36,29.48,533.24,464.68,0,0,0,0,0,0,
12852014.28,904.5,44.36,892.65,705.82,0,0,0,0,0,0,
12852004.06,324.04,37.3,310.61,589.5,0,0,0,0,0,0,
12851993.87,288.94,15.76,277.87,248.53,0,0,0,0,0,0,
12851983.67,526.67,33.88,514.98,533.71,0,0,0,0,0,0,
12851973.46,875.09,49.69,866.33,789.57,0,0,0,0,0,0,
12851963.24,425.7,39.17,411.62,619.95,0,0,0,0,0,0,
12851953.02,385.34,19.2,368.64,301.93,0,0,0,0,0,0,
12851942.83,405.56,28.18,395.52,440.5,0,0,0,0,0,0,
12851932.62,718.6,54.59,713.69,870.42,0,0,0,0,0,0,
12851922.36,653.23,36.39,644.68,578.65,0,0,0,0,0,0,
12851912.15,438.37,22.42,418.53,356.55,0,0,0,0,0,0,
12851901.94,293.76,21.77,285.41,343.35,0,0,0,0,0,0,
12851891.74,596.2,42.51,593.1,678.31,0,0,0,0,0,0,
12851881.52,845.9,37.95,844.56,605.42,0,0,0,0,0,0,
12851871.31,323.28,29.78,310.95,471.56,0,0,0,0,0,0,
12851861.11,288.19,15.36,279.34,242.94,0,0,0,0,0,0,
12851850.91,517.42,33.01,506.28,521.7,0,0,0,0,0,0,
12851840.69,882.46,49.51,876.9,790.71,0,0,0,0,0,0,
12851830.48,435.45,40.02,429.04,638.84,0,0,0,0,0,0,
12851820.26,393.64,19.33,379.33,305.85,0,0,0,0,0,0,
12851810.07,399.09,28.32,390.5,448.31,0,0,0,0,0,0,
12851799.87,692.52,52.4,689.42,834.88,0,0,0,0,0,0,
12851789.64,686.47,36.62,677.11,583.67,0,0,0,0,0,0,
12851779.43,441.1,23.25,426.72,369.29,0,0,0,0,0,0,
12851769.21,304.84,22.47,296.45,351.19,0,0,0,0,0,0,
12851759.00,603.79,41.48,600.38,660.07,0,0,0,0,0,0,
12851748.77,839.42,39.11,843.13,623.96,0,0,0,0,0,0,
12851738.57,308.74,28.94,296.7,463.47,0,0,0,0,0,0,
12851728.36,338.25,26.6,330.46,422.82,0,0,0,0,0,0,
12851718.17,498.93,25.26,494,401.38,0,0,0,0,0,0,
12851707.96,913.85,47.47,903.78,753.58,0,0,0,0,0,0,
12851697.74,327.47,37.97,324.23,601.96,0,0,0,0,0,0,
12851687.52,402,19.84,388.8,312.13,0,0,0,0,0,0,
12851677.31,379.2,27.81,366.87,437.72,0,0,0,0,0,0,
12851667.10,686.09,51.14,674.66,812.02,0,0,0,0,0,0,
12851656.90,712.45,35.15,704.69,558.09,0,0,0,0,0,0,
12851646.69,410.42,24.45,393.04,383.6,0,0,0,0,0,0,
12851636.46,303.58,23.55,296.74,372.11,0,0,0,0,0,0,
12851626.26,496.19,26.77,491.28,422.63,0,0,0,0,0,0,
12851616.04,851.29,42.57,845.15,677.3,0,0,0,0,0,0,
12851605.81,343.69,39.48,338.12,628.95,0,0,0,0,0,0,
12851595.59,367.02,19.24,355.45,303.87,0,0,0,0,0,0,
12851585.38,407.19,26.79,398.63,421.66,0,0,0,0,0,0,
12851575.18,596.17,48.4,587.97,766.44,0,0,0,0,0,0,
12851564.96,738.97,36.4,732.96,579.19,0,0,0,0,0,0,
12851554.75,399.44,24.01,378.56,376.11,0,0,0,0,0,0,
12851544.55,304.6,23.67,295.22,376.38,0,0,0,0,0,0,
12851534.35,620.66,34.23,613.53,542.96,0,0,0,0,0,0,
